customer_id,customer_segment,customer_city,customer_state,customer_country,customer_zipcode
5007,Home Office,Caguas,PR,Puerto Rico,725
9854,Home Office,Caguas,PR,Puerto Rico,725
376,Home Office,Caguas,PR,Puerto Rico,725
5417,Home Office,Caguas,PR,Puerto Rico,725
10759,Home Office,Caguas,PR,Puerto Rico,725
8541,Home Office,Caguas,PR,Puerto Rico,725
3752,Home Office,Caguas,PR,Puerto Rico,725
4673,Home Office,Caguas,PR,Puerto Rico,725
5367,Home Office,Caguas,PR,Puerto Rico,725
10485,Home Office,Caguas,PR,Puerto Rico,725
9272,Home Office,Caguas,PR,Puerto Rico,725
647,Consumer,Caguas,PR,Puerto Rico,725
6398,Consumer,Caguas,PR,Puerto Rico,725
4209,Consumer,Caguas,PR,Puerto Rico,725
8917,Consumer,Caguas,PR,Puerto Rico,725
7784,Consumer,Caguas,PR,Puerto Rico,725
1425,Consumer,Caguas,PR,Puerto Rico,725
2737,Consumer,Caguas,PR,Puerto Rico,725
6428,Consumer,Caguas,PR,Puerto Rico,725
6543,Consumer,Caguas,PR,Puerto Rico,725
3990,Consumer,Guayama,PR,Puerto Rico,784
8524,Consumer,Caguas,PR,Puerto Rico,725
9204,Consumer,Caguas,PR,Puerto Rico,725
11761,Consumer,Caguas,PR,Puerto Rico,725
9554,Consumer,Caguas,PR,Puerto Rico,725
5118,Consumer,Caguas,PR,Puerto Rico,725
5506,Consumer,Caguas,PR,Puerto Rico,725
1423,Consumer,Caguas,PR,Puerto Rico,725
138,Consumer,Caguas,PR,Puerto Rico,725
6360,Consumer,Caguas,PR,Puerto Rico,725
2053,Consumer,Caguas,PR,Puerto Rico,725
10344,Consumer,Juana Diaz,PR,Puerto Rico,795
3375,Consumer,Caguas,PR,Puerto Rico,725
1339,Consumer,Caguas,PR,Puerto Rico,725
7247,Consumer,Caguas,PR,Puerto Rico,725
1273,Consumer,Caguas,PR,Puerto Rico,725
6277,Consumer,Caguas,PR,Puerto Rico,725
7701,Consumer,Caguas,PR,Puerto Rico,725
4126,Consumer,Caguas,PR,Puerto Rico,725
9528,Consumer,Caguas,PR,Puerto Rico,725
1853,Consumer,Caguas,PR,Puerto Rico,725
11149,Consumer,Caguas,PR,Puerto Rico,725
5828,Consumer,Caguas,PR,Puerto Rico,725
6887,Consumer,Caguas,PR,Puerto Rico,725
4781,Consumer,Caguas,PR,Puerto Rico,725
10668,Consumer,Caguas,PR,Puerto Rico,725
5421,Consumer,Caguas,PR,Puerto Rico,725
10200,Consumer,Caguas,PR,Puerto Rico,725
11254,Consumer,Caguas,PR,Puerto Rico,725
11106,Consumer,Caguas,PR,Puerto Rico,725
8456,Consumer,Caguas,PR,Puerto Rico,725
6149,Consumer,Caguas,PR,Puerto Rico,725
1473,Consumer,Caguas,PR,Puerto Rico,725
1840,Consumer,Caguas,PR,Puerto Rico,725
6757,Consumer,Caguas,PR,Puerto Rico,725
3972,Consumer,Caguas,PR,Puerto Rico,725
9316,Consumer,Caguas,PR,Puerto Rico,725
11213,Consumer,Caguas,PR,Puerto Rico,725
3474,Consumer,Caguas,PR,Puerto Rico,725
14630,Consumer,Caguas,PR,Puerto Rico,725
13256,Consumer,Caguas,PR,Puerto Rico,725
14665,Consumer,Caguas,PR,Puerto Rico,725
13363,Consumer,Caguas,PR,Puerto Rico,725
14645,Consumer,Caguas,PR,Puerto Rico,725
13163,Consumer,Caguas,PR,Puerto Rico,725
14553,Consumer,Caguas,PR,Puerto Rico,725
14287,Consumer,Caguas,PR,Puerto Rico,725
13179,Consumer,Caguas,PR,Puerto Rico,725
13035,Consumer,Caguas,PR,Puerto Rico,725
14322,Consumer,Caguas,PR,Puerto Rico,725
13196,Consumer,Caguas,PR,Puerto Rico,725
14604,Consumer,Caguas,PR,Puerto Rico,725
12961,Consumer,Caguas,PR,Puerto Rico,725
14676,Consumer,Caguas,PR,Puerto Rico,725
14087,Consumer,Caguas,PR,Puerto Rico,725
13194,Consumer,Caguas,PR,Puerto Rico,725
14513,Consumer,Caguas,PR,Puerto Rico,725
13461,Consumer,Caguas,PR,Puerto Rico,725
14510,Consumer,Caguas,PR,Puerto Rico,725
13190,Consumer,Caguas,PR,Puerto Rico,725
14508,Consumer,Caguas,PR,Puerto Rico,725
14472,Consumer,Caguas,PR,Puerto Rico,725
14562,Consumer,Caguas,PR,Puerto Rico,725
13206,Consumer,Caguas,PR,Puerto Rico,725
13080,Consumer,Caguas,PR,Puerto Rico,725
14633,Consumer,Caguas,PR,Puerto Rico,725
14097,Consumer,Caguas,PR,Puerto Rico,725
13024,Consumer,Caguas,PR,Puerto Rico,725
778,Consumer,Caguas,PR,Puerto Rico,725
7146,Consumer,Caguas,PR,Puerto Rico,725
6365,Consumer,Caguas,PR,Puerto Rico,725
8422,Consumer,Caguas,PR,Puerto Rico,725
3784,Consumer,Caguas,PR,Puerto Rico,725
10519,Consumer,Caguas,PR,Puerto Rico,725
7132,Consumer,Caguas,PR,Puerto Rico,725
3709,Consumer,Caguas,PR,Puerto Rico,725
1509,Consumer,Freeport,NY,EE. UU.,11520
1636,Consumer,Fort Washington,MD,EE. UU.,20744
2784,Consumer,Bakersfield,CA,EE. UU.,93304
9174,Consumer,Corona,NY,EE. UU.,11368
122,Consumer,Cincinnati,OH,EE. UU.,45238
3800,Consumer,Germantown,MD,EE. UU.,20874
10029,Consumer,Carrollton,TX,EE. UU.,75006
2805,Consumer,Houston,TX,EE. UU.,77093
12253,Consumer,Carlisle,PA,EE. UU.,17013
3528,Consumer,Los Angeles,CA,EE. UU.,90023
11018,Consumer,Ewa Beach,HI,EE. UU.,96706
3222,Consumer,Lakewood,NJ,EE. UU.,8701
6246,Consumer,Rome,NY,EE. UU.,13440
8741,Consumer,Vista,CA,EE. UU.,92083
8050,Consumer,Fort Worth,TX,EE. UU.,76106
5474,Consumer,Fond Du Lac,WI,EE. UU.,54935
474,Consumer,Philadelphia,PA,EE. UU.,19139
12255,Consumer,Ontario,CA,EE. UU.,91764
10288,Consumer,Oviedo,FL,EE. UU.,32765
4717,Consumer,Buffalo,NY,EE. UU.,14221
4799,Consumer,Honolulu,HI,EE. UU.,96822
4533,Consumer,Oceanside,CA,EE. UU.,92056
12383,Consumer,North Tonawanda,NY,EE. UU.,14120
3518,Consumer,Clovis,CA,EE. UU.,93611
4674,Consumer,Jamaica,NY,EE. UU.,11434
8519,Consumer,Granite City,IL,EE. UU.,62040
5302,Consumer,Medford,MA,EE. UU.,2155
3594,Consumer,Pomona,CA,EE. UU.,91766
9890,Consumer,Tempe,AZ,EE. UU.,85281
1410,Consumer,Santa Ana,CA,EE. UU.,92703
7521,Consumer,York,PA,EE. UU.,17402
2106,Consumer,Aurora,CO,EE. UU.,80010
8144,Consumer,Simi Valley,CA,EE. UU.,93065
5643,Consumer,Silver Spring,MD,EE. UU.,20904
2041,Consumer,Saint Paul,MN,EE. UU.,55124
7537,Consumer,San Antonio,TX,EE. UU.,78201
3056,Consumer,Philadelphia,PA,EE. UU.,19143
7967,Consumer,Philadelphia,PA,EE. UU.,19149
1758,Consumer,Bronx,NY,EE. UU.,10466
7884,Corporate,Greenville,NC,EE. UU.,27858
289,Corporate,Morristown,NJ,EE. UU.,7960
10081,Corporate,San Diego,CA,EE. UU.,92115
1169,Corporate,Oxnard,CA,EE. UU.,93030
1182,Corporate,Miami,FL,EE. UU.,33147
717,Corporate,Albuquerque,NM,EE. UU.,87111
20423,Corporate,Amarillo,TX,EE. UU.,79109
5801,Corporate,Lutz,FL,EE. UU.,33549
702,Corporate,Bend,OR,EE. UU.,97701
6951,Corporate,East Brunswick,NJ,EE. UU.,8816
6780,Corporate,Lancaster,SC,EE. UU.,29720
6422,Corporate,Ontario,CA,EE. UU.,91762
5384,Corporate,Houston,TX,EE. UU.,77015
2985,Corporate,Hampton,VA,EE. UU.,23666
18349,Corporate,New York,NY,EE. UU.,10016
11286,Corporate,Porterville,CA,EE. UU.,93257
489,Corporate,Portland,OR,EE. UU.,97223
4510,Corporate,Strongsville,OH,EE. UU.,44136
9626,Corporate,El Paso,TX,EE. UU.,79927
9494,Corporate,Del Rio,TX,EE. UU.,78840
1718,Corporate,Buffalo,NY,EE. UU.,14221
5295,Corporate,Bountiful,UT,EE. UU.,84010
3984,Corporate,Kent,WA,EE. UU.,98031
5270,Corporate,Chicago,IL,EE. UU.,60620
10966,Corporate,Plymouth,MA,EE. UU.,2360
1868,Corporate,Far Rockaway,NY,EE. UU.,11691
17446,Corporate,Houston,TX,EE. UU.,77088
10071,Corporate,Philadelphia,PA,EE. UU.,19124
1271,Corporate,Simi Valley,CA,EE. UU.,93065
11930,Corporate,Detroit,MI,EE. UU.,48227
20529,Corporate,Garden Grove,CA,EE. UU.,92840
8358,Corporate,San Diego,CA,EE. UU.,92105
7705,Corporate,Chicago,IL,EE. UU.,60609
17392,Corporate,Placentia,CA,EE. UU.,92870
18276,Corporate,San Jose,CA,EE. UU.,95148
7795,Corporate,Honolulu,HI,EE. UU.,96822
20655,Corporate,Mentor,OH,EE. UU.,44060
2454,Corporate,Santa Clara,CA,EE. UU.,95051
150,Corporate,Union,NJ,EE. UU.,7083
10671,Corporate,Long Beach,CA,EE. UU.,90805
11924,Corporate,Westminster,CA,EE. UU.,92683
16086,Corporate,Pompano Beach,FL,EE. UU.,33068
4398,Consumer,Azusa,CA,EE. UU.,91702
5687,Consumer,Fort Lauderdale,FL,EE. UU.,33324
8534,Consumer,San Antonio,TX,EE. UU.,78201
3372,Consumer,Princeton,NJ,EE. UU.,8540
10927,Consumer,Perth Amboy,NJ,EE. UU.,8861
3597,Consumer,Miami,FL,EE. UU.,33162
2052,Consumer,Loveland,OH,EE. UU.,45140
4399,Consumer,Virginia Beach,VA,EE. UU.,23455
185,Consumer,Louisville,KY,EE. UU.,40214
3441,Consumer,Lockport,NY,EE. UU.,14094
11947,Consumer,Chicago,IL,EE. UU.,60608
1555,Consumer,Staten Island,NY,EE. UU.,10314
9399,Consumer,Tucson,AZ,EE. UU.,85719
2792,Consumer,Plymouth,MA,EE. UU.,2360
10118,Consumer,Cleveland,OH,EE. UU.,44120
8544,Consumer,Bronx,NY,EE. UU.,10458
4296,Consumer,Webster,NY,EE. UU.,14580
4391,Consumer,Stockton,CA,EE. UU.,95207
2882,Consumer,Amarillo,TX,EE. UU.,79109
3283,Consumer,Martinsburg,WV,EE. UU.,25401
397,Consumer,Cumberland,MD,EE. UU.,21502
4104,Consumer,Pekin,IL,EE. UU.,61554
12214,Consumer,Tallahassee,FL,EE. UU.,32308
10699,Consumer,Jacksonville,FL,EE. UU.,32225
2091,Consumer,Woonsocket,RI,EE. UU.,2895
10474,Consumer,Stockton,CA,EE. UU.,95206
7504,Consumer,Lithonia,GA,EE. UU.,30058
7518,Consumer,Oak Lawn,IL,EE. UU.,60453
1738,Consumer,Detroit,MI,EE. UU.,48213
1622,Consumer,Alhambra,CA,EE. UU.,91801
1325,Consumer,New Haven,CT,EE. UU.,6511
5505,Consumer,North Tonawanda,NY,EE. UU.,14120
4210,Consumer,Phoenix,AZ,EE. UU.,85029
11229,Consumer,Kenner,LA,EE. UU.,70065
9385,Consumer,Washington,PA,EE. UU.,15301
900,Consumer,Holland,MI,EE. UU.,49423
6217,Consumer,Morrisville,PA,EE. UU.,19067
9466,Consumer,Memphis,TN,EE. UU.,38128
4596,Consumer,Federal Way,WA,EE. UU.,98023
5206,Consumer,San Diego,CA,EE. UU.,92113
2823,Consumer,Chicago,IL,EE. UU.,60626
10408,Consumer,Los Angeles,CA,EE. UU.,90027
11011,Consumer,Bronx,NY,EE. UU.,10457
40,Consumer,Long Beach,CA,EE. UU.,90805
11636,Consumer,Chicago,IL,EE. UU.,60637
7454,Corporate,West Covina,CA,EE. UU.,91790
5138,Corporate,Ventura,CA,EE. UU.,93003
8696,Corporate,Washington,DC,EE. UU.,20009
2329,Corporate,Valrico,FL,EE. UU.,33594
12431,Corporate,Kaneohe,HI,EE. UU.,96744
10860,Corporate,Ventura,CA,EE. UU.,93003
12094,Corporate,Brooklyn,NY,EE. UU.,11218
5088,Corporate,Oceanside,CA,EE. UU.,92057
2200,Corporate,Fort Worth,TX,EE. UU.,76116
3997,Corporate,Brooklyn,NY,EE. UU.,11218
8746,Corporate,Cleveland,OH,EE. UU.,44120
3687,Corporate,Philadelphia,PA,EE. UU.,19145
9162,Corporate,Lodi,CA,EE. UU.,95240
8993,Corporate,Bakersfield,CA,EE. UU.,93308
5875,Corporate,Philadelphia,PA,EE. UU.,19143
2502,Corporate,Long Beach,CA,EE. UU.,90813
9563,Corporate,San Jose,CA,EE. UU.,95122
7259,Corporate,Murfreesboro,TN,EE. UU.,37130
3131,Corporate,Carlsbad,CA,EE. UU.,92009
4140,Corporate,Hamilton,OH,EE. UU.,45011
4539,Corporate,Houston,TX,EE. UU.,77083
6071,Corporate,New York,NY,EE. UU.,10031
8730,Corporate,Hayward,CA,EE. UU.,94541
9634,Corporate,Bridgeton,NJ,EE. UU.,8302
8010,Corporate,Martinsburg,WV,EE. UU.,25401
3484,Corporate,Bay Shore,NY,EE. UU.,11706
7307,Corporate,Palatine,IL,EE. UU.,60067
1975,Corporate,Smyrna,GA,EE. UU.,30080
629,Corporate,Van Nuys,CA,EE. UU.,91406
11753,Corporate,Opa Locka,FL,EE. UU.,33055
5375,Corporate,Los Angeles,CA,EE. UU.,90046
1695,Corporate,Saint Paul,MN,EE. UU.,55106
9884,Corporate,Edison,NJ,EE. UU.,8817
8498,Corporate,Baytown,TX,EE. UU.,77520
7534,Corporate,Sylmar,CA,EE. UU.,91342
123,Corporate,Bend,OR,EE. UU.,97701
8925,Corporate,Opa Locka,FL,EE. UU.,33055
5981,Corporate,Burnsville,MN,EE. UU.,55337
7347,Corporate,Huntington Station,NY,EE. UU.,11746
19445,Corporate,Caguas,PR,Puerto Rico,725
19444,Corporate,Sunnyvale,CA,EE. UU.,94087
19443,Corporate,Sugar Land,TX,EE. UU.,77478
19442,Corporate,Caguas,PR,Puerto Rico,725
19441,Corporate,Brighton,MA,EE. UU.,2135
19440,Corporate,Caguas,PR,Puerto Rico,725
19439,Corporate,Garden Grove,CA,EE. UU.,92840
19438,Home Office,Caguas,PR,Puerto Rico,725
19437,Corporate,Bismarck,ND,EE. UU.,58501
19436,Home Office,Caguas,PR,Puerto Rico,725
19435,Consumer,Gaithersburg,MD,EE. UU.,20878
19434,Corporate,Caguas,PR,Puerto Rico,725
19433,Corporate,Bismarck,ND,EE. UU.,58501
19432,Corporate,Honolulu,HI,EE. UU.,96817
19431,Corporate,Lilburn,GA,EE. UU.,30047
19430,Corporate,Caguas,PR,Puerto Rico,725
19429,Consumer,Virginia Beach,VA,EE. UU.,23455
19428,Consumer,Azusa,CA,EE. UU.,91702
19427,Corporate,Long Beach,CA,EE. UU.,90813
19426,Consumer,Bronx,NY,EE. UU.,10458
19425,Consumer,Caguas,PR,Puerto Rico,725
19424,Consumer,Provo,UT,EE. UU.,84604
19423,Consumer,Columbia,TN,EE. UU.,38401
19422,Consumer,Caguas,PR,Puerto Rico,725
19421,Consumer,Stockton,CA,EE. UU.,95207
19420,Home Office,Marietta,GA,EE. UU.,30062
19419,Home Office,Caguas,PR,Puerto Rico,725
19418,Consumer,Holland,MI,EE. UU.,49423
19417,Home Office,Rio Grande,PR,Puerto Rico,745
19416,Home Office,Brooklyn,NY,EE. UU.,11212
19415,Consumer,Caguas,PR,Puerto Rico,725
19414,Corporate,Denver,CO,EE. UU.,80219
19413,Corporate,Taylor,MI,EE. UU.,48180
19412,Corporate,Caguas,PR,Puerto Rico,725
19411,Corporate,Chicago,IL,EE. UU.,60637
19410,Corporate,Caguas,PR,Puerto Rico,725
19409,Corporate,Detroit,MI,EE. UU.,48205
19408,Consumer,Caguas,PR,Puerto Rico,725
19407,Consumer,Murfreesboro,TN,EE. UU.,37130
19406,Consumer,Caguas,PR,Puerto Rico,725
19405,Corporate,Cleveland,OH,EE. UU.,44102
19404,Consumer,Caguas,PR,Puerto Rico,725
19403,Corporate,Lockport,NY,EE. UU.,14094
19402,Corporate,Caguas,PR,Puerto Rico,725
19401,Corporate,Saint Charles,MO,EE. UU.,63301
19400,Corporate,Los Angeles,CA,EE. UU.,90046
19399,Home Office,Cupertino,CA,EE. UU.,95014
19398,Home Office,Caguas,PR,Puerto Rico,725
19397,Home Office,Springfield,MO,EE. UU.,65807
19396,Home Office,Caguas,PR,Puerto Rico,725
19395,Home Office,Mission Viejo,CA,EE. UU.,92692
19394,Home Office,Los Angeles,CA,EE. UU.,90042
19393,Home Office,Caguas,PR,Puerto Rico,725
19392,Home Office,Roswell,GA,EE. UU.,30075
19391,Corporate,Caguas,PR,Puerto Rico,725
19390,Home Office,Ypsilanti,MI,EE. UU.,48197
19389,Corporate,Brooklyn,NY,EE. UU.,11218
19388,Corporate,Caguas,PR,Puerto Rico,725
19387,Corporate,Peoria,AZ,EE. UU.,85345
19386,Corporate,Caguas,PR,Puerto Rico,725
19385,Corporate,Garden Grove,CA,EE. UU.,92843
19384,Home Office,Caguas,PR,Puerto Rico,725
19383,Corporate,Clementon,NJ,EE. UU.,8021
19382,Corporate,Memphis,TN,EE. UU.,38127
19381,Consumer,Antioch,TN,EE. UU.,37013
19380,Consumer,Caguas,PR,Puerto Rico,725
19379,Home Office,Salt Lake City,UT,EE. UU.,84118
19378,Consumer,Caguas,PR,Puerto Rico,725
19377,Consumer,Bakersfield,CA,EE. UU.,93304
19376,Corporate,Caguas,PR,Puerto Rico,725
19375,Consumer,Granada Hills,CA,EE. UU.,91344
19374,Consumer,Caguas,PR,Puerto Rico,725
19373,Home Office,Tallahassee,FL,EE. UU.,32308
19372,Home Office,Caguas,PR,Puerto Rico,725
19371,Home Office,Hempstead,NY,EE. UU.,11550
19370,Corporate,Caguas,PR,Puerto Rico,725
19369,Corporate,Astoria,NY,EE. UU.,11103
19368,Consumer,Gilroy,CA,EE. UU.,95020
19367,Consumer,Caguas,PR,Puerto Rico,725
19366,Consumer,Azusa,CA,EE. UU.,91702
19365,Consumer,Caguas,PR,Puerto Rico,725
19364,Consumer,Lenoir,NC,EE. UU.,28645
19363,Consumer,Columbus,OH,EE. UU.,43228
19362,Consumer,Albany,OR,EE. UU.,97321
19361,Consumer,Humacao,PR,Puerto Rico,791
19360,Corporate,Caguas,PR,Puerto Rico,725
19359,Corporate,Lindenhurst,NY,EE. UU.,11757
19358,Corporate,Elyria,OH,EE. UU.,44035
19357,Corporate,Caguas,PR,Puerto Rico,725
19356,Consumer,Riverside,CA,EE. UU.,92504
19355,Corporate,Caguas,PR,Puerto Rico,725
19354,Home Office,Carson,CA,EE. UU.,90745
19353,Consumer,Mesa,AZ,EE. UU.,85204
19352,Home Office,Caguas,PR,Puerto Rico,725
19351,Home Office,Honolulu,HI,EE. UU.,96818
19350,Consumer,Caguas,PR,Puerto Rico,725
12069,Home Office,Caguas,PR,Puerto Rico,725
9597,Home Office,Caguas,PR,Puerto Rico,725
9467,Home Office,Caguas,PR,Puerto Rico,725
2546,Home Office,Caguas,PR,Puerto Rico,725
2240,Home Office,Caguas,PR,Puerto Rico,725
11650,Home Office,Caguas,PR,Puerto Rico,725
10368,Home Office,Caguas,PR,Puerto Rico,725
6489,Home Office,Caguas,PR,Puerto Rico,725
10533,Home Office,Caguas,PR,Puerto Rico,725
11292,Home Office,Caguas,PR,Puerto Rico,725
47,Home Office,Caguas,PR,Puerto Rico,725
6405,Home Office,Caguas,PR,Puerto Rico,725
2426,Home Office,Caguas,PR,Puerto Rico,725
8133,Home Office,Caguas,PR,Puerto Rico,725
1429,Home Office,Caguas,PR,Puerto Rico,725
9120,Home Office,Caguas,PR,Puerto Rico,725
12221,Home Office,Caguas,PR,Puerto Rico,725
9415,Home Office,Caguas,PR,Puerto Rico,725
724,Home Office,Caguas,PR,Puerto Rico,725
8897,Home Office,Caguas,PR,Puerto Rico,725
7112,Home Office,Caguas,PR,Puerto Rico,725
1086,Home Office,Caguas,PR,Puerto Rico,725
2916,Home Office,Caguas,PR,Puerto Rico,725
11339,Home Office,Caguas,PR,Puerto Rico,725
10166,Home Office,Caguas,PR,Puerto Rico,725
3091,Home Office,Caguas,PR,Puerto Rico,725
1070,Home Office,Caguas,PR,Puerto Rico,725
6871,Home Office,Caguas,PR,Puerto Rico,725
2339,Home Office,Caguas,PR,Puerto Rico,725
4232,Home Office,Caguas,PR,Puerto Rico,725
8986,Home Office,Caguas,PR,Puerto Rico,725
6491,Home Office,Caguas,PR,Puerto Rico,725
5564,Home Office,Caguas,PR,Puerto Rico,725
7955,Home Office,Caguas,PR,Puerto Rico,725
5728,Home Office,Caguas,PR,Puerto Rico,725
9704,Home Office,Caguas,PR,Puerto Rico,725
8485,Home Office,Caguas,PR,Puerto Rico,725
11216,Home Office,Caguas,PR,Puerto Rico,725
12160,Home Office,Caguas,PR,Puerto Rico,725
6352,Home Office,Caguas,PR,Puerto Rico,725
5870,Home Office,Caguas,PR,Puerto Rico,725
11776,Home Office,Caguas,PR,Puerto Rico,725
7060,Home Office,Caguas,PR,Puerto Rico,725
3466,Home Office,Caguas,PR,Puerto Rico,725
1834,Home Office,Caguas,PR,Puerto Rico,725
2439,Home Office,Caguas,PR,Puerto Rico,725
6416,Home Office,Caguas,PR,Puerto Rico,725
6310,Home Office,Caguas,PR,Puerto Rico,725
9029,Home Office,Caguas,PR,Puerto Rico,725
295,Home Office,Caguas,PR,Puerto Rico,725
9011,Home Office,Caguas,PR,Puerto Rico,725
1577,Home Office,Caguas,PR,Puerto Rico,725
1568,Home Office,Caguas,PR,Puerto Rico,725
9047,Home Office,Caguas,PR,Puerto Rico,725
7603,Home Office,Caguas,PR,Puerto Rico,725
6746,Home Office,Caguas,PR,Puerto Rico,725
1566,Consumer,Caguas,PR,Puerto Rico,725
2918,Consumer,Caguas,PR,Puerto Rico,725
1491,Consumer,Caguas,PR,Puerto Rico,725
14915,Consumer,Caguas,PR,Puerto Rico,725
9619,Consumer,Caguas,PR,Puerto Rico,725
2363,Consumer,Caguas,PR,Puerto Rico,725
5898,Consumer,Caguas,PR,Puerto Rico,725
1948,Consumer,Caguas,PR,Puerto Rico,725
1820,Consumer,Caguas,PR,Puerto Rico,725
14770,Consumer,Caguas,PR,Puerto Rico,725
1962,Consumer,Caguas,PR,Puerto Rico,725
7175,Consumer,Caguas,PR,Puerto Rico,725
1222,Consumer,Caguas,PR,Puerto Rico,725
487,Consumer,Caguas,PR,Puerto Rico,725
2217,Consumer,Caguas,PR,Puerto Rico,725
14824,Consumer,Caguas,PR,Puerto Rico,725
2078,Consumer,San Juan,PR,Puerto Rico,921
10497,Consumer,Caguas,PR,Puerto Rico,725
4695,Consumer,Caguas,PR,Puerto Rico,725
9857,Consumer,Caguas,PR,Puerto Rico,725
2168,Consumer,Caguas,PR,Puerto Rico,725
4078,Consumer,Caguas,PR,Puerto Rico,725
11887,Consumer,Caguas,PR,Puerto Rico,725
6588,Consumer,Caguas,PR,Puerto Rico,725
7167,Consumer,Caguas,PR,Puerto Rico,725
1459,Consumer,Caguas,PR,Puerto Rico,725
548,Consumer,Caguas,PR,Puerto Rico,725
5224,Consumer,Caguas,PR,Puerto Rico,725
2686,Consumer,Caguas,PR,Puerto Rico,725
468,Consumer,Caguas,PR,Puerto Rico,725
1260,Consumer,Caguas,PR,Puerto Rico,725
3050,Consumer,Caguas,PR,Puerto Rico,725
10308,Consumer,Caguas,PR,Puerto Rico,725
387,Consumer,Caguas,PR,Puerto Rico,725
2270,Consumer,Caguas,PR,Puerto Rico,725
482,Consumer,Caguas,PR,Puerto Rico,725
1956,Consumer,Caguas,PR,Puerto Rico,725
7466,Consumer,Caguas,PR,Puerto Rico,725
8224,Consumer,Caguas,PR,Puerto Rico,725
